Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,,testowe,Hamowanie syntezy ściany komórkowej jest mechanizmem działania:,wankomycyna,aztreonam,bacytracyna,,,azytromycyna,,,,
LEKI PRZECIWGRZYBICZE,Sposób podania,,testowe,Wskaż właściwe stwierdzenia odnoszące się do leków przeciwgrzybiczych:,mikonazol może być podawany doustnie,klotrimazol jest stosowany w leczeniu zakażeń wywołanych przez dermatofity,amfoterycyna B może być podawana dożylnie,,,ketokonazol dobrze przechodzi przez barierę krew-mózg,,,,
ZNIECZULENIA MIEJSCOWE,Działania niepożądane,,testowe,Do działań niepożądanych lidokainy należy:,depresja ośrodka oddechowego,bradykardia,obniżenie ciśnienia tętniczego,drgawki,,methemoglobinemia,hipertermia złośliwa,agranulocytoza,,
ZNIECZULENIA MIEJSCOWE,Farmakokinetyka,,testowe,Wskaż właściwe twierdzenia odnoszące się do lidokainy:,posiada silny efekt pierwszego przejścia,jest metabolizowana w wątrobie,,,,jest typem estrowego leku miejscowo znieczulającego,przedawkowanie wywołuje methemoglobinemię,,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Ototoksyczność jest działaniem niepożądanym:,streptomycyna,wankomycyna,furosemid,,,etambutol,,,,
FARMAKOKINETYKA,Farmakokinetyka,,testowe,Wskaż właściwe stwierdzenia odnoszące się do kinetyki I rzędu:,w czasie biologicznego półtrwania stężenie w surowicy zmniejsza się o 50%,w jednostce czasu organizm eliminuje część całkowitego stężenia leku,szybkość reakcji jest wprost proporcjonalna do pierwszej potęgi stężenia,,,eliminacja leku jest stała w jednostce czasu,,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,W zakażeniu wywołanym przez Pseudomonas aeruginosa skuteczność wykazuje:,amikacyna,piperacylina,lewofloksacyna,,,doksycyklina,,,,
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Sposób podania,,testowe,Morfina może być stosowana:,podskórnie,podpajęczynówkowo,dożylnie,doustnie,,dospojówkowo,wyłącznie parenteralnie,wyłącznie w postaci plastra przezskórnego,,
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,,testowe,Stężenie lipidów w surowicy ulega zwiększeniu po stosowaniu:,chlortalidon,metoprolol,,,,doksazosyna,peryndopryl,,,
CHOROBA NIEDOKRWIENNA SERCA,Działania niepożądane,,testowe,Działaniem niepożądanym nitrogliceryny jest:,ból głowy,zaczerwienienie skóry,działanie hipotensyjne,częstoskurcz,,bradykardia,nadciśnienie tętnicze,suchość błony śluzowej jamy ustnej,,
