Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5
UKŁAD POKARMOWY,Farmakokinetyka,,testowe,Wskaż prawdziwe stwierdzenia dotyczące inhibitorów pompy protonowej:,nie różnią się siłą działania hamującego wydzielanie HCl w zakresie dawek równoważnych,zwiększają prawdopodobieństwo zakażenia Clostridium difficile,,,,"są podawane w postaci aktywnej, dlatego działają już w żołądku","nie są metabolizowane przez CYP450, dlatego nie wchodzą w interakcje",,,
LEKI PRZECIWNOWOTWOROWE,Wskazania,,testowe,Wspomagająco w leczeniu cytotoksycznym stosuje się:,palonosetron,filgrastym,,,,talidomid,letrozol,,,
LEKI PRZECIWHISTAMINOWE,Wskazania,,testowe,W leczeniu późnej fazy odpowiedzi alergicznej z zatkaniem nosa skuteczny może być:,mometazon,,,,,klemastyna,nafazolina,antazolina,,
NADCIŚNIENIE TĘTNICZE,Interakcje,,testowe,Wskaż korzystne (rekomendowane) skojarzenie leków:,indapamid + peryndopryl + rozuwastatyna,bromek glikopironium + indakaterol + mometazon,,,,hydrochlorotiazyd + enalapryl + telmisartan,lizynopryl + diltiazem + propranolol,,,
LEKI PRZECIWDEPRESYJNE,Mechanizm działania,,testowe,Wychwyt zwrotny serotoniny hamuje:,fluoksetyna,tramadol,nefopam,,,bupropion,,,,
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,,testowe,Wskazaniem do podania atropiny może być:,premedykacja,bradykardia zatokowa,,,,zatrucie bieluniem dziędzierzawą,wstrząs anafilaktyczny,,,
FARMAKOKINETYKA,Mechanizm działania,,testowe,Hamowanie aktywności enzymatycznej to podstawowy mechanizm działania:,amoksycylina,racekadotryl,kaptopryl,selegilina,,formoterol,losartan,amlodypina,,
UKŁAD PRZYWSPÓŁCZULNY,Antidotum,,testowe,"Pacjent ze zwężonymi źrenicami, ślinotokiem i bradykardią – wskaż prawdopodobną przyczynę:",zatrucie związkami fosforoorganicznymi,,,,,zatrucie lulkiem czarnym,przedawkowanie oksykodonu,przedawkowanie sertraliny,,
CHOROBA NIEDOKRWIENNA SERCA,Wskazania,,testowe,Udowodniony korzystny wpływ sercowo-naczyniowy ma:,atorwastatyna,kanagliflozyna,kwas acetylosalicylowy,,,saksagliptyna,,,,
UKŁAD ODDECHOWY,Działania niepożądane,,testowe,Skurcz oskrzeli może wywołać:,propafenon,kwas acetylosalicylowy,,,,atropina,drotaweryna,,,
FARMAKOKINETYKA,Mechanizm działania,,testowe,Na receptor błonowy działa:,glikwidon,dulaglutyd,,,,etynyloestradiol,deksametazon,,,
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,,testowe,Wskaż leki mogące powodować reakcje fototoksyczne:,furosemid,sulfasalazyna,adapalen,fluorochinolony,,amoksycylina,ranitydyna,insulina,,
NADCIŚNIENIE TĘTNICZE,Przeciwwskazania,,testowe,Wskaż prawidłowe połączenie lek – przeciwwskazanie:,atenolol – cukrzyca,trandolapryl – ciąża,,,,amlodypina – blok przedsionkowo-komorowy,doksazosyna – hiperkaliemia,,,
UKŁAD PRZYWSPÓŁCZULNY,Przeciwwskazania,,testowe,W jaskrze z wąskim kątem przesączania przeciwwskazane są:,solifenacyna,ipratropium,oksybutynina,,,mirabegron,,,,
FARMAKOKINETYKA,Mechanizm działania,,testowe,Miejsce wiązania zlokalizowane wewnątrzkomórkowo dotyczy:,lewofloksacyna,atorwastatyna,,,,formoterol,lamotrygina,,,
LEKI PRZECIWBAKTERYJNE,Wskazania,,testowe,Wskaż prawidłowe połączenie lek – wskazanie:,spiramycyna – toksoplazmoza u kobiet w ciąży,metronidazol – ameboza,ceftriakson – rzeżączka,,,fidaksomycyna – biegunka podróżnych,,,,
CHOROBA NIEDOKRWIENNA SERCA,Mechanizm działania,,testowe,Azotany organiczne:,są używane w celu obniżenia ciśnienia w sytuacjach nagłych,ich zasadniczy mechanizm w chorobie niedokrwiennej serca na podłożu miażdżycy polega na zmniejszeniu naprężenia mięśniówki komór,zwiększają stężenie cGMP w mięśniówce naczyń,mogą powodować methemoglobinemię,,zmniejszają stężenie cGMP w mięśniówce naczyń,mogą być bezpiecznie łączone z inhibitorami fosfodiesterazy typu 5,działają przez blokowanie kanałów wapniowych,,
